Iter.,Eval.,Best,ical.rescale,ikr.rescale,IKs.rescale,INa.rescale,INaL.rescale,membrane.c0,Time m:s
180,1629,4.00E-04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,28900.52224
181,1638,4.00E-04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,29048.58698
182,1647,4.00E-04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,29196.71687
183,1656,4.00E-04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,29349.49013
184,1665,2.83E-04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,29497.49563
185,1674,2.83E-04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,29647.59388
186,1683,2.35E-04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,29796.94499
187,1692,1.09E-04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,29948.77909
188,1701,1.09E-04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,30100.25947
189,1710,1.09E-04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,30245.90919
190,1719,1.09E-04,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,30397.0468
191,1728,1.01E-04,1.00E+00,1.00E+00,9.99E-01,1.00E+00,1.00E+00,-7.80E+00,30543.7482
192,1737,8.37E-05,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,30690.40343
193,1746,7.47E-05,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,30839.8722
194,1755,4.30E-05,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,30989.47993
195,1764,3.95E-05,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,31138.65492
196,1773,3.95E-05,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,31287.64314
197,1782,3.49E-05,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,31435.32402
198,1791,2.90E-05,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,31582.48339
199,1800,2.28E-05,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,31730.81291
200,1809,2.28E-05,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,31881.71492
201,1818,1.98E-05,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,-7.80E+00,32028.84107
